grammar,div,model,ppl-10-epochs
111110,2,lstm,23.19
111001,1,lstm,23.29
110000,1,lstm,23.1
110010,0,transformer,26.88
111011,4,transformer,25.35
010110,3,lstm,23.62
111111,1,transformer,24.69
110000,0,lstm,23.36
111001,0,lstm,23.74
011000,3,transformer,25.07
111101,2,transformer,25.8
000001,1,transformer,24.58
011001,2,transformer,24.1
010000,2,transformer,25.8
000011,0,lstm,23.06
111011,3,lstm,23.83
010010,2,lstm,23.09
010110,4,transformer,26.29
001100,1,lstm,22.59
001001,4,lstm,23.17
000000,4,lstm,22.32
110000,4,transformer,26.06
101101,3,transformer,24.97
000100,2,transformer,23.54
011010,1,transformer,24.5
010101,1,lstm,22.97
010111,0,transformer,25.71
000010,4,transformer,23.42
001110,2,lstm,22.84
101011,1,lstm,23.02
000010,3,lstm,22.72
100111,2,lstm,22.91
101110,0,transformer,23.83
000000,3,transformer,24.24
001001,3,transformer,26.2
100100,0,lstm,22.58
101101,4,lstm,23.27
011100,4,transformer,24.18
100101,2,transformer,23.17
101011,0,lstm,23.53
100100,4,lstm,22.36
101110,1,transformer,23.4
100100,1,lstm,22.24
010001,4,lstm,23.15
001111,3,lstm,23.55
101010,2,lstm,23
111111,3,transformer,25.42
101110,4,transformer,23.46
010001,3,transformer,26.25
011010,0,transformer,25.05
111111,4,lstm,23.4
101110,3,lstm,23.39
011100,3,lstm,22.7
010101,0,lstm,23.43
100100,3,transformer,22.52
001011,2,transformer,25.24
010111,1,transformer,24.76
100011,1,lstm,22.67
100001,0,transformer,23.54
111010,3,transformer,27.46
001010,3,lstm,23.34
101111,2,lstm,23.25
101100,0,lstm,23
100011,4,lstm,22.79
110101,3,lstm,23.58
000101,3,transformer,25.86
011011,4,transformer,23.67
100011,3,transformer,23.01
001100,2,transformer,24.33
110101,4,transformer,25.66
000101,4,lstm,22.96
011011,3,lstm,22.83
010010,1,transformer,26.23
011001,1,lstm,22.43
010000,1,lstm,22.83
000001,2,lstm,22.95
111010,4,lstm,23.23
011111,0,transformer,24.12
001010,4,transformer,24.53
100110,3,lstm,22.79
010010,0,transformer,26.92
000111,4,transformer,24.73
000011,2,transformer,24.69
010000,0,lstm,23.19
011001,0,lstm,22.86
011111,1,transformer,23.97
101000,4,lstm,22.74
101001,2,transformer,24.65
100000,2,transformer,22.31
100001,1,transformer,23.06
101100,1,lstm,22.66
100110,4,transformer,22.33
000111,3,lstm,23.12
100010,2,lstm,22.46
000001,1,lstm,22.74
011001,2,lstm,22.83
010000,2,lstm,22.95
000011,0,transformer,24.74
111011,3,transformer,25.5
010010,2,transformer,26.18
010110,4,lstm,23.16
001100,1,transformer,24.06
110010,0,lstm,23.64
111011,4,lstm,23.5
010110,3,transformer,27.48
111111,1,lstm,23.22
110000,0,transformer,26.52
111001,0,transformer,26.19
011000,3,lstm,22.61
111101,2,lstm,23.39
110010,1,lstm,23.22
111001,4,transformer,25.75
101011,3,transformer,24.29
010011,3,lstm,23.46
110100,2,lstm,23.07
001101,4,lstm,23.23
111111,0,lstm,23.68
110010,4,lstm,23.24
111110,2,transformer,26.37
111001,1,transformer,26.02
110000,1,transformer,26.04
110010,3,transformer,27.8
011111,2,transformer,23.96
000001,0,lstm,23.14
000110,3,lstm,22.74
000011,1,transformer,24.4
111001,3,lstm,23.94
101011,4,lstm,23.12
001100,0,transformer,24.61
010011,4,transformer,25
001101,3,transformer,25.96
011110,3,transformer,25.3
100001,3,lstm,23.22
111010,0,lstm,23.61
110111,4,lstm,23.32
110111,1,lstm,23.1
010100,3,lstm,23.33
110011,2,lstm,23.23
101100,3,transformer,23.66
110101,0,transformer,26.03
001110,1,lstm,22.57
001011,0,transformer,25.29
010100,4,transformer,25.81
101100,4,lstm,22.75
010101,2,lstm,23.16
011110,4,lstm,22.63
100001,4,transformer,23.28
110111,3,transformer,25.61
011010,2,transformer,24.46
000100,1,transformer,23.1
001110,0,lstm,23.05
111100,3,transformer,26.7
010111,2,transformer,25.03
001011,1,transformer,25.02
011101,4,transformer,23.81
110001,3,lstm,23.59
111010,1,lstm,23.07
011101,3,lstm,23.15
110001,4,transformer,25.72
110110,2,transformer,26.86
110111,0,lstm,23.52
111100,4,lstm,23.11
110101,1,transformer,25.44
